"Model","DT","predicitons_ExpDT_RF","predicitons_ExpDT_PLS","Tumor_type","Doubling_time_(days)","Days_to_150mm3","Treatment_history"
"CTG-3543",12.3776282242847,102.371731002613,105.570199113112,"NSCLC","9 - 22","15 - 35","Pretreated"
"CTG-3569",14.9563007710107,67.13380649105,65.4943103113859,"NSCLC","10 - 21","15 - 33","Naive"
"CTG-3574",13.052771581973,96.8248874727233,104.808547924778,"NSCLC","10 - 17","15 - 28","Pending"
"CTG-3651",17.9475609252129,63.0209828428167,67.8710287016625,"NSCLC","10 - 24","16 - 38","Pretreated"
"CTG-3702",12.3776282242847,92.5906659112934,95.5380128143606,"NSCLC","8 - 15","13 - 23","Pretreated"
"CTG-3703",22.4344511565161,98.4522289639167,99.7609015242366,"NSCLC","18 - 27","28 - 43","Pretreated"
"CTG-3708",12.5947795966406,75.94283008188,67.0465123415567,"NSCLC","8 - 19","13 - 30","Pretreated"
"CTG-3710",7.63725996817569,77.6782031167166,72.7041265110055,"NSCLC","7 - 11","11 - 17","Pretreated"
"CTG-3855",11.217225578258,71.7359792254567,71.37334979945,"NSCLC","10 - 14","16 - 21","Pretreated"
"CTG-3969",11.5790715646535,117.72494445937,122.462286322832,"NSCLC","Not available","Not available","Pretreated"
"CTG-3970",21.114777559074,102.433126934423,101.676028522322,"NSCLC","Not available","Not available","Pretreated"
"CTG-3982",12.3776282242847,107.681712709247,106.877813468276,"NSCLC","Not available","Not available","Pretreated"
"CTG-4001",16.3159644774662,109.142317260423,111.52866909213,"NSCLC","Not available","Not available","Pretreated"
"CTG-4002",23.9300812336172,103.112135331813,105.705300453354,"NSCLC","Not available","Not available","Pretreated"
"CTG-0334",23.1581431293069,109.187306936577,110.827176986347,"Colorectal","15 - 37","23 - 58","Not available"
"CTG-0358",10.1113019296974,107.11873209604,110.144954007164,"Colorectal","7 - 19","11 - 31","Not available"
"CTG-0359",9.44608469748046,113.303093614437,115.727353279449,"Colorectal","7 - 16","10 - 25","Not available"
"CTG-0360",13.2944895742318,104.011189060563,102.594513285839,"Colorectal","10 - 27","16 - 42","Naive"
"CTG-0369",26.5889791484635,106.486796121143,115.166352565447,"Colorectal","20 - 45","32 - 72","Not available"
"CTG-0373",34.1858303337388,101.405567979357,106.841715788263,"Colorectal","26 - 103","41 - 164","Not available"
"CTG-0374",14.076518372716,117.92568510722,121.305230739939,"Colorectal","11 - 40","18 - 64","Not available"
"CTG-0375",NA,97.8254748940098,104.280916590388,"Colorectal","Not available","Not available","Not available"
"CTG-0379",7.32553507151546,106.817102203923,108.243540581883,"Colorectal","4 - 15","7 - 24","Not available"
"CTG-0382",12.5947795966406,93.0374609661166,96.1446428633781,"Colorectal","7 - 32","11 - 51","Not available"
"CTG-0387",10.4043831450509,98.3495943929467,102.621831124964,"Colorectal","8 - 19","13 - 30","Not available"
"CTG-0401",11.3952767779129,91.27937150799,93.6082621195153,"Colorectal","6 - 76","10 - 120","Not available"
"CTG-0403",15.2745199363514,87.87623827383,92.5282727185662,"Colorectal","7 - 116","11 - 183","Not available"
"CTG-0406",14.3580487401703,107.495381283017,114.135524048512,"Colorectal","10 - 26","16 - 41","Not available"
"CTG-0416",19.4027685677977,106.731738687457,111.475451323645,"Colorectal","12 - 33","20 - 52","Not available"
"CTG-0419",21.114777559074,100.31335966819,104.344450246678,"Colorectal","14 - 35","23 - 55","Not available"
"CTG-0420",17.0929151668694,102.660744441977,99.7114743711146,"Colorectal","13 - 35","20 - 55","Not available"
"CTG-0438",11.0446528770541,101.482508069523,107.686304321627,"Colorectal","8 - 16","13 - 25","Pretreated"
"CTG-0439",6.08391895769928,82.7707637152667,83.0021891888844,"Colorectal","4 - 10","7 - 17","Not available"
"CTG-0440",11.5790715646535,104.72145369691,108.51618151608,"Colorectal","8 - 23","12 - 37","Naive"
"CTG-0454",15.9533874890781,112.783584546513,118.191782443866,"Colorectal","12 - 25","19 - 39","Not available"
"CTG-0489",2.82638754727762,NA,NA,"Colorectal","2 - 4","4 - 6","Not available"
"CTG-0497",14.076518372716,91.39183158439,96.169395734107,"Colorectal","11 - 21","17 - 33","Pretreated"
"CTG-0564",17.0929151668694,127.096354664973,132.633250650168,"Colorectal","8 - 10","13 - 16","Not available"
"CTG-0652",8.64942695190982,109.390411276653,117.108974464016,"Colorectal","6 - 13","9 - 21","Not available"
"CTG-0654",11.0446528770541,118.924217781313,116.461436379728,"Colorectal","8 - 16","13 - 26","Not available"
"CTG-0661",8.44591102362958,101.908954373463,104.911884896238,"Colorectal","6 - 11","10 - 18","Not available"
"CTG-0662",23.9300812336172,101.745482492057,107.734320488169,"Colorectal","16 - 205","25 - 325","Not available"
"CTG-0679",21.114777559074,97.49176345591,98.5588831433532,"Colorectal","13 - 50","21 - 79","Not available"
"CTG-0681",13.052771581973,100.427113986713,104.289329751808,"Colorectal","9 - 21","15 - 33","Not available"
"CTG-0689",9.32340827283785,104.37346804143,104.085731058875,"Colorectal","6 - 17","10 - 27","Not available"
"CTG-0706",8.64942695190982,88.5422995280167,102.428902204439,"Colorectal","7 - 19","11 - 30","Not available"
"CTG-0722",14.076518372716,106.449543855423,110.543825148642,"Colorectal","9 - 32","15 - 51","Naive"
"CTG-0759",12.5947795966406,108.968977144537,116.480567159865,"Colorectal","10 - 23","15 - 36","Pretreated"
"CTG-0768",17.9475609252129,102.764488945343,107.482942384743,"Colorectal","12 - 38","19 - 61","Pretreated"
"CTG-0772",6.35311891157978,87.6195217852732,88.9226930099097,"Colorectal","5 - 10","8 - 16","Not available"
"CTG-0784",12.5947795966406,97.3370721395267,112.225791518964,"Colorectal","8 - 21","13 - 33","Pretreated"
"CTG-0796",16.6954055118259,91.9092397570633,99.7433801842409,"Colorectal","11 - 29","18 - 46","Naive"
"CTG-0799",19.9417343613476,99.9540981930666,106.840024949004,"Colorectal","13 - 48","21 - 75","Naive"
"CTG-0802",8.15798223873312,92.4332283054266,96.4220161794295,"Colorectal","6 - 14","9 - 22","Not available"
"CTG-0812",10.4043831450509,103.585412758567,106.620053010693,"Colorectal","7 - 16","12 - 25","Not available"
"CTG-0826",9.97086718067382,82.3085467825233,88.6679729114111,"Colorectal","7 - 16","11 - 25","Pretreated"
"CTG-0833",12.819686375152,93.21530911343,100.354389219721,"Colorectal","9 - 18","14 - 29","Pretreated"
"CTG-0834",16.3159644774662,107.404675384347,111.026323139677,"Colorectal","12 - 30","20 - 47","Pretreated"
"CTG-0835",15.9533874890781,106.239065222447,106.598990490099,"Colorectal","9 - 39","14 - 62","Pretreated"
"CTG-0864",10.7149617463957,93.1279966631034,94.3394551104381,"Colorectal","7 - 16","11 - 25","Pretreated"
"CTG-0887",9.44608469748046,97.6539876540433,99.3460512008843,"Colorectal","7 - 18","11 - 29","Naive"
"CTG-0914",8.75490776839652,98.6521588562533,100.594273979919,"Colorectal","6 - 14","10 - 22","Pretreated"
"CTG-0923",12.5947795966406,103.323891474147,105.711344555513,"Colorectal","9 - 24","14 - 39","Pretreated"
"CTG-0934",14.076518372716,102.298030503497,107.637994542944,"Colorectal","8 - 34","13 - 54","Pretreated"
"CTG-0951",13.052771581973,113.13464022039,115.668784319381,"Colorectal","8 - 30","13 - 48","Pretreated"
"CTG-0959",12.1678379153986,91.9954426766233,97.5633699548514,"Colorectal","8 - 9","12 - 14","Pretreated"
"CTG-0963",23.1581431293069,118.45336354314,126.714937895,"Colorectal","18 - 33","29 - 53","Pretreated"
"CTG-0966",9.97086718067382,99.0392195937266,109.334866830776,"Colorectal","7 - 16","11 - 25","Not available"
"CTG-0978",7.10794492087638,86.4441558256466,88.0183945350533,"Colorectal","5 - 10","8 - 16","Not available"
"CTG-0983",13.8058160963176,111.533490011163,112.322874396251,"Colorectal","9 - 31","14 - 49","Not available"
"CTG-0985",12.5947795966406,99.7627581691067,105.007572574731,"Colorectal","9 - 17","15 - 27","Not available"
"CTG-0998",14.6510701430309,103.277159209097,114.142173776331,"Colorectal","11 - 23","17 - 36","Not available"
"CTG-0999",16.6954055118259,109.35904010033,110.265638692325,"Colorectal","12 - 25","20 - 40","Not available"
"CTG-1009",11.3952767779129,89.4782102078767,96.0410238977865,"Colorectal","9 - 19","14 - 30","Pretreated"
"CTG-1020",13.8058160963176,94.9946814673166,101.113628768063,"Colorectal","10 - 18","16 - 29","Not available"
"CTG-1021",7.88903776932434,89.6760441661666,94.2046743618427,"Colorectal","5 - 13","7 - 21","Not available"
"CTG-1033",17.509815536793,102.3504242268,106.34270017909,"Colorectal","13 - 27","20 - 43","Pretreated"
"CTG-1053",11.9650406168086,106.7048178036,106.163733354169,"Colorectal","8 - 37","13 - 58","Pretreated"
"CTG-1054",12.1678379153986,101.23183857721,103.016750600244,"Colorectal","8 - 19","12 - 29","Pretreated"
"CTG-1060",15.2745199363514,77.8501280008101,73.7980874015309,"Colorectal","7 - 18","11 - 29","Pretreated"
"CTG-1087",11.5790715646535,111.83897439469,118.947768659485,"Colorectal","7 - 14","11 - 22","Pretreated"
"CTG-1096",9.32340827283785,101.329233766373,103.838671114962,"Colorectal","7 - 13","12 - 21","Naive"
"CTG-1112",20.5114982002433,102.939384103577,106.277413969277,"Colorectal","16 - 38","26 - 60","Naive"
"CTG-1129",9.08737262036095,96.7519596240333,99.468902920557,"Colorectal","6 - 23","10 - 36","Pretreated"
"CTG-1146",9.57203249344686,96.38269211504,105.263952677104,"Colorectal","7 - 18","11 - 29","Not available"
"CTG-1147",17.0929151668694,106.468272785197,112.240418087331,"Colorectal","10 - 45","16 - 71","Pretreated"
"CTG-1157",16.6954055118259,97.03196468892,103.080593605291,"Colorectal","9 - 44","14 - 70","Pretreated"
"CTG-1170",9.97086718067382,100.611434598787,103.405431428271,"Colorectal","7 - 14","11 - 22","Not available"
"CTG-1235",12.5947795966406,94.6438720782801,101.876918276695,"Colorectal","10 - 22","15 - 35","Pretreated"
"CTG-1249",15.6065747175764,109.784973432053,113.545443648421,"Colorectal","8 - 40","13 - 63","Pretreated"
"CTG-1251",8.86299304948784,106.114619791703,104.197643365682,"Colorectal","8 - 19","12 - 29","Pretreated"
"CTG-1303",13.5453290001607,93.9272996257834,95.8170102523258,"Colorectal","9 - 30","14 - 48","Pretreated"
"CTG-1311",22.4344511565161,102.403404417,102.74762739233,"Colorectal","15 - 33","24 - 53","Pretreated"
"CTG-1312",15.6065747175764,109.512111175163,108.293539849708,"Colorectal","12 - 28","19 - 44","Pretreated"
"CTG-1334",11.9650406168086,86.74946919149,93.4362355988879,"Colorectal","8 - 29","12 - 46","Pretreated"
"CTG-1338",7.25153976776278,72.0348753259733,76.0888904239419,"Colorectal","6 - 11","9 - 18","Not available"
"CTG-1344",14.076518372716,97.3240777855566,104.394821944991,"Colorectal","9 - 24","15 - 39","Not available"
"CTG-1376",13.8058160963176,89.1961467329733,92.9839809454413,"Colorectal","9 - 27","14 - 43","Naive"
"CTG-1407",5.98252030840429,94.0699982478999,97.9896220892194,"Colorectal","4 - 55","6 - 88","Naive"
"CTG-1472",8.0663195169496,107.638568133377,110.799907361744,"Colorectal","7 - 15","12 - 24","Pretreated"
"CTG-1484",11.3952767779129,112.936839355117,112.063349027756,"Colorectal","Not available","Not available","Not available"
"CTG-1489",13.5453290001607,95.92583050077,94.3692538356952,"Colorectal","10 - 13","16 - 21","Pretreated"
"CTG-1493",28.7160974803406,117.480113547077,115.265475957589,"Colorectal","19 - 56","30 - 88","Not available"
"CTG-1494",13.8058160963176,101.351128845573,104.596275773142,"Colorectal","8 - 27","13 - 42","Pretreated"
"CTG-1496",12.3776282242847,108.12707591167,112.807648740957,"Colorectal","8 - 77","12 - 122","Not available"
"CTG-1510",6.24262988703056,74.2649798030167,79.2001038829375,"Colorectal","4 - 10","6 - 16","Pretreated"
"CTG-1553",7.03825918635799,75.53294339809,78.7244963896355,"Colorectal","4 - 11","7 - 17","Pretreated"
"CTG-1579",11.5790715646535,103.69314783462,107.723137392023,"Colorectal","9 - 15","15 - 24","Pretreated"
"CTG-1637",6.64724478711588,85.67731357352,93.5510687126602,"Colorectal","5 - 12","8 - 19","Not available"
"CTG-1701",8.44591102362958,88.2158673125134,93.8430911822117,"Colorectal","7 - 10","11 - 17","Pretreated"
"CTG-1778",12.5947795966406,92.3984482655633,96.7238008684975,"Colorectal","9 - 21","15 - 34","Pretreated"
"CTG-1825",14.9563007710107,105.690000898067,109.15909933044,"Colorectal","6 - 39","10 - 62","Pretreated"
"CTG-1882",4.37745388419826,95.08848666807,101.156457795327,"Colorectal","3 - 15","4 - 24","Pretreated"
"CTG-1905",17.509815536793,98.0354915417499,101.716027278147,"Colorectal","12 - 28","19 - 44","Pretreated"
"CTG-1951",18.4077547950901,112.784644817733,111.659695571975,"Colorectal","13 - 28","20 - 44","Pretreated"
"CTG-1981",21.114777559074,99.9815120551667,103.208313760718,"Colorectal","15 - 50","24 - 79","Naive"
"CTG-2005",8.86299304948784,97.2495248579533,104.329087929891,"Colorectal","6 - 21","9 - 33","Pretreated"
"CTG-2067",16.6954055118259,108.060233150487,112.063219883224,"Colorectal","11 - 40","18 - 63","Naive"
"CTG-2101",9.83427995902075,83.4399437032234,89.3855886508631,"Colorectal","6 - 28","10 - 44","Pretreated"
"CTG-2157",7.32553507151546,94.5597154765301,96.0377632690091,"Colorectal","5 - 13","8 - 20","Pretreated"
"CTG-2158",11.5790715646535,95.8245136009934,98.8071474017815,"Colorectal","8 - 17","13 - 27","Pretreated"
"CTG-2164",5.88444620498783,84.30379342151,89.5690904339063,"Colorectal","4 - 12","7 - 20","Pretreated"
"CTG-2276",14.9563007710107,92.5325826984332,96.4935094362998,"Colorectal","11 - 26","18 - 41","Pretreated"
"CTG-2281",10.4043831450509,83.9598786094501,85.38821292579,"Colorectal","8 - 16","13 - 25","Pretreated"
"CTG-2292",7.97669374453905,92.7076514497932,95.6969005875664,"Colorectal","6 - 11","10 - 18","Pretreated"
"CTG-2351",15.2745199363514,101.908041997953,104.204127153851,"Colorectal","10 - 29","16 - 46","Pretreated"
"CTG-2359",10.4043831450509,97.5026776804966,101.689800289331,"Colorectal","8 - 13","13 - 20","Naive"
"CTG-2360",19.4027685677977,92.3709029564933,96.6717456067609,"Colorectal","15 - 41","24 - 65","Naive"
"CTG-2362",13.2944895742318,106.68091451138,105.050610399014,"Colorectal","11 - 17","17 - 28","Naive"
"CTG-2368",7.17902437008515,95.0319258080134,95.8895331496103,"Colorectal","5 - 11","8 - 17","Naive"
"CTG-2383",8.97378046260643,108.35027265327,103.88039895825,"Colorectal","7 - 12","11 - 20","Pretreated"
"CTG-2410",17.9475609252129,104.32757253435,110.061967256451,"Colorectal","13 - 22","20 - 35","Pretreated"
"CTG-2444",15.9533874890781,88.6401610703867,92.7406064504402,"Colorectal","12 - 24","18 - 38","Naive"
"CTG-2598",26.5889791484635,107.710334600223,109.804156326867,"Colorectal","15 - 77","25 - 122","Pretreated"
"CTG-2600",11.9650406168086,98.7400742354701,101.634089466264,"Colorectal","9 - 16","14 - 26","Pretreated"
"CTG-2612",11.217225578258,101.431966866837,102.795595390219,"Colorectal","9 - 13","14 - 21","Pretreated"
"CTG-2712",22.4344511565161,92.44924615086,95.8245324340706,"Colorectal","13 - 49","21 - 78","Naive"
"CTG-2944",24.7552564485695,100.337922671817,106.869953173528,"Colorectal","16 - 44","25 - 71","Pending"
"CTG-3069",19.9417343613476,106.76670251179,109.809786648091,"Colorectal","15 - 26","24 - 42","Pretreated"
"CTG-3136",8.15798223873312,86.5900282638367,96.7229434305083,"Colorectal","7 - 10","11 - 16","Pretreated"
"CTG-3272",35.8951218504257,101.63171981044,109.181843638944,"Colorectal","27 - 50","43 - 79","Not available"
"CTG-3278",8.64942695190982,98.7402988648033,103.115726961419,"Colorectal","7 - 10","11 - 16","Pretreated"
"CTG-3291",19.4027685677977,101.69222766059,104.399943119659,"Colorectal","16 - 28","25 - 44","Not available"
"CTG-3304",13.2944895742318,108.403955251787,105.700065451941,"Colorectal","9 - 18","14 - 28","Not available"
"CTG-3360",11.5790715646535,107.254194490803,105.23737845947,"Colorectal","9 - 12","14 - 19","Pretreated"
"CTG-3388",17.0929151668694,104.729427294433,105.824631931586,"Colorectal","14 - 17","22 - 27","Pretreated"
"CTG-3397",10.1113019296974,89.4127049495867,97.9682439686279,"Colorectal","7 - 17","11 - 27","Pretreated"
"CTG-3426",11.217225578258,88.3420199034967,91.7109928031051,"Colorectal","9 - 13","14 - 21","Pretreated"
"CTG-3488",35.8951218504257,115.724706649643,119.26936824381,"Colorectal","22 - 116","36 - 184","Pretreated"
"CTG-3491",17.0929151668694,101.615680328093,107.352831185505,"Colorectal","14 - 26","22 - 41","Pretreated"
"CTG-3494",9.32340827283785,106.167556689973,112.743509843908,"Colorectal","7 - 14","12 - 23","Pretreated"
"CTG-3536",10.8773096516442,88.7856773105799,92.9265954310286,"Colorectal","8 - 15","13 - 23","Pretreated"
"CTG-3546",13.8058160963176,103.66139377054,104.400144789095,"Colorectal","10 - 21","16 - 33","Pretreated"
"CTG-3579",11.217225578258,88.6506385908633,93.3700443790138,"Colorectal","8 - 15","12 - 24","Pretreated"
"CTG-3604",10.4043831450509,100.280901498007,104.656664866712,"Colorectal","7 - 14","12 - 21","Pretreated"
"CTG-3631",7.55686775798437,95.9865136484266,104.435361073673,"Colorectal","5 - 12","8 - 19","Pretreated"
"CTG-3716",14.076518372716,90.3311873915466,93.8774229063146,"Colorectal","10 - 19","16 - 30","Pretreated"
"CTG-3717",12.1678379153986,NA,NA,"Colorectal","7 - 28","12 - 45","Pretreated"
"CTG-3727",32.6319289549325,111.690987308233,101.225688161729,"Colorectal","33 - 52","52 - 81","Pretreated"
"CTG-3730",7.47815038550536,103.195422833507,109.188598024301,"Colorectal","5 - 8","8 - 13","Pretreated"
"CTG-3749",5.56513517060864,NA,NA,"Colorectal","5 - 6","7 - 10","Pretreated"
"CTG-3765",4.78601624672343,NA,NA,"Colorectal","4 - 8","6 - 12","Pretreated"
"CTG-3778",11.9650406168086,96.7475717646267,91.5227105051242,"Colorectal","10 - 17","15 - 27","Pretreated"
"CTG-3787",6.83716606674776,95.0948068776333,91.7592180132838,"Colorectal","6 - 9","9 - 15","Pretreated"
"CTG-3791",14.6510701430309,NA,NA,"Colorectal","12 - 26","19 - 41","Naive"
"CTG-3819",5.35748087319787,87.219848282,92.7270111029588,"Colorectal","5 - 7","7 - 10","Pretreated"
"CTG-3829",12.3776282242847,91.9556835646599,91.7724973539467,"Colorectal","9 - 19","14 - 29","Pretreated"
"CTG-3948",12.1678379153986,108.57010509046,107.061557226715,"Colorectal","Not available","Not available","Pretreated"
"CTG-3981",17.509815536793,112.711916908447,116.284217687919,"Colorectal","Not available","Not available","Pretreated"
"CTG-4174",NA,NA,NA,"Colorectal","Not available","Not available","Pretreated"
"CTG-4184",NA,NA,NA,"Colorectal","Not available","Not available","Pending"
"CTG-0329",6.64724478711588,61.02189171557,40.0040060193136,"Sarcoma","6 - 9","9 - 14","Pretreated"
"CTG-0331",14.9563007710107,79.0154349087701,75.1943729671707,"Sarcoma","10 - 31","16 - 49","Not available"
"CTG-0663",23.1581431293069,69.49634470213,70.4830269284528,"Sarcoma","15 - 43","24 - 68","Pretreated"
"CTG-0677",15.2745199363514,NA,NA,"Sarcoma","10 - 25","15 - 39","Naive"
"CTG-0714",7.55686775798437,68.7085737410466,52.7951778409249,"Sarcoma","5 - 11","8 - 17","Pretreated"
"CTG-0771",18.4077547950901,79.0108500322767,74.3368786254658,"Sarcoma","13 - 36","20 - 58","Pretreated"
"CTG-0785",6.90290804815879,67.72086533982,63.2234481150877,"Sarcoma","5 - 16","8 - 25","Pretreated"
"CTG-0800",5.12787455006082,61.8812083988366,44.9013624294874,"Sarcoma","4 - 10","7 - 16","Pretreated"
"CTG-0816",11.217225578258,67.3921190217667,60.1671231601029,"Sarcoma","8 - 19","13 - 30","Pretreated"
"CTG-0855",65.263857909865,87.2847745226234,85.259968141775,"Sarcoma","43 - 94","68 - 149","Pretreated"
"CTG-0866",17.0929151668694,77.14923078114,71.3589076529392,"Sarcoma","11 - 30","18 - 48","Pretreated"
"CTG-0886",34.1858303337388,77.7308288245234,77.1667120461042,"Sarcoma","26 - 72","41 - 115","Pretreated"
"CTG-0898",5.3177958296927,67.27033327755,57.0480012602029,"Sarcoma","4 - 10","7 - 16","Pretreated"
"CTG-0910",10.2557491001216,70.97864329412,64.956685755064,"Sarcoma","8 - 14","12 - 23","Pretreated"
"CTG-0926",9.83427995902075,66.8532030309767,61.467105405051,"Sarcoma","7 - 16","12 - 25","Pretreated"
"CTG-0933",13.8058160963176,73.0059999215666,71.8102321834886,"Sarcoma","10 - 22","16 - 36","Pretreated"
"CTG-0969",25.6393727503041,71.4292185979133,67.7890295287922,"Sarcoma","16 - 42","26 - 67","Pretreated"
"CTG-0980",4.69217279090533,76.65408022657,57.3112098575914,"Sarcoma","4 - 8","6 - 13","Pretreated"
"CTG-0993",6.9699265728982,66.6551563547333,50.4132272750806,"Sarcoma","6 - 25","9 - 40","Naive"
"CTG-0994",7.63725996817569,63.6917353889534,49.8828360533024,"Sarcoma","5 - 15","8 - 25","Pretreated"
"CTG-1005",15.6065747175764,86.8326303223867,73.7547683048875,"Sarcoma","10 - 26","15 - 41","Pretreated"
"CTG-1006",16.3159644774662,68.48830073571,58.7482865757955,"Sarcoma","12 - 24","19 - 38","Pretreated"
"CTG-1008",14.3580487401703,71.0054308946633,65.9638918810194,"Sarcoma","8 - 42","13 - 66","Pretreated"
"CTG-1064",13.2944895742318,77.7609518785234,70.8960147888368,"Sarcoma","10 - 48","16 - 76","Pretreated"
"CTG-1069",23.9300812336172,80.3206925510601,78.4489080342276,"Sarcoma","16 - 35","25 - 55","Pretreated"
"CTG-1071",13.5453290001607,74.4485980891733,68.3308051555306,"Sarcoma","7 - 1014","11 - 1608","Pretreated"
"CTG-1079",17.9475609252129,75.6579975450434,68.7126588392838,"Sarcoma","13 - 31","20 - 48","Not available"
"CTG-1084",11.5790715646535,74.58068045281,70.4844979780128,"Sarcoma","9 - 16","14 - 26","Not available"
"CTG-1095",14.3580487401703,68.2283279447233,58.6544293865021,"Sarcoma","9 - 37","15 - 59","Pretreated"
"CTG-1116",5.69763838895647,64.2418173952233,51.3457535556127,"Sarcoma","4 - 8","7 - 12","Pretreated"
"CTG-1126",11.217225578258,70.3605602096267,58.8930878135887,"Sarcoma","9 - 17","14 - 27","Pretreated"
"CTG-1143",32.6319289549325,79.4790697125233,76.559198357291,"Sarcoma","22 - 58","34 - 92","Pretreated"
"CTG-1173",18.8921693949609,85.59526844183,83.3871636791239,"Sarcoma","14 - 52","23 - 82","Pretreated"
"CTG-1182",18.8921693949609,74.0737567549067,74.0732319465498,"Sarcoma","13 - 34","21 - 55","Pretreated"
"CTG-1195",25.6393727503041,77.7127758128467,74.8759732149908,"Sarcoma","21 - 37","33 - 59","Pretreated"
"CTG-1213",7.8032873587882,65.3608774210067,50.0822727479076,"Sarcoma","6 - 15","9 - 23","Not available"
"CTG-1224",10.557388779537,67.9029001346552,54.1612375838487,"Sarcoma","7 - 28","10 - 45","Not available"
"CTG-1255",17.0929151668694,74.46911806954,61.3123694615995,"Sarcoma","12 - 26","19 - 41","Naive"
"CTG-1299",6.64724478711588,71.8296891304967,71.3985981312645,"Sarcoma","4 - 10","7 - 15","Not available"
"CTG-1300",14.3580487401703,84.06724671821,74.870068583174,"Sarcoma","10 - 29","16 - 46","Pretreated"
"CTG-1302",27.6116321926352,73.817070499351,74.6461275855819,"Sarcoma","18 - 72","29 - 115","Pretreated"
"CTG-1313",11.217225578258,75.3464002720667,67.396777644657,"Sarcoma","8 - 17","13 - 27","Pretreated"
"CTG-1333",8.06631951694961,64.5713803034866,60.4435123330284,"Sarcoma","5 - 11","9 - 17","Pretreated"
"CTG-1336",17.0929151668694,89.64995152965,83.3288892819658,"Sarcoma","12 - 24","19 - 38","Not available"
"CTG-1337",15.6065747175764,75.26017404825,64.5662177375773,"Sarcoma","10 - 24","16 - 38","Not available"
"CTG-1339",9.08737262036095,64.08567441061,56.6103219527447,"Sarcoma","7 - 12","11 - 20","Not available"
"CTG-1341",8.97378046260644,65.8690237341568,52.895494612711,"Sarcoma","8 - 10","13 - 15","Pretreated"
"CTG-1413",5.60861278912902,64.5336902961933,51.0734680047225,"Sarcoma","5 - 10","7 - 16","Pretreated"
"CTG-1450",5.56513517060864,67.0589228235667,49.757053330384,"Sarcoma","4 - 8","7 - 13","Pretreated"
"CTG-1451",5.27869438976849,69.8620794133633,56.8249088415634,"Sarcoma","4 - 8","6 - 12","Pretreated"
"CTG-1457",10.1113019296974,86.16502345679,86.934039430432,"Sarcoma","Not available","Not available","Pretreated"
"CTG-1458",10.2557491001216,81.11553725717,78.9502108815866,"Sarcoma","7 - 20","11 - 32","Pretreated"
"CTG-1481",26.5889791484635,NA,NA,"Sarcoma","29 - 47","45 - 75","Not available"
"CTG-1482",10.557388779537,70.4868459945733,53.409907421952,"Sarcoma","Not available","Not available","Not available"
"CTG-1517",5.88444620498783,77.7712550408699,61.9213723821304,"Sarcoma","3 - 16","5 - 26","Not available"
"CTG-1524",34.1858303337388,NA,NA,"Sarcoma","26 - 45","42 - 71","Not available"
"CTG-1542",6.70936857017304,69.1207965876366,66.3992248383951,"Sarcoma","5 - 10","8 - 16","Pretreated"
"CTG-1548",4.85069214194943,69.5158607862534,59.9664099650985,"Sarcoma","5 - 8","8 - 13","Pretreated"
"CTG-1549",14.076518372716,76.826134129341,69.8338752319281,"Sarcoma","8 - 36","12 - 57","Naive"
"CTG-1554",14.076518372716,73.2702625936666,69.2267446184395,"Sarcoma","12 - 22","19 - 34","Pretreated"
"CTG-1572",12.819686375152,66.75873053879,58.406243588952,"Sarcoma","9 - 19","14 - 31","Pretreated"
"CTG-1587",16.6954055118259,75.41688662898,66.7483314142985,"Sarcoma","10 - 51","16 - 80","Not available"
"CTG-1609",6.46758952259923,63.8547417414834,52.866879100413,"Sarcoma","5 - 8","8 - 13","Pretreated"
"CTG-1651",8.06631951694961,76.3675005558466,60.2425960356194,"Sarcoma","5 - 16","8 - 26","Pretreated"
"CTG-1660",34.1858303337388,80.5382266553333,75.4266982129301,"Sarcoma","24 - 70","38 - 112","Naive"
"CTG-1663",6.18881411214237,66.88236021267,58.670846949352,"Sarcoma","4 - 10","7 - 16","Pretreated"
"CTG-1664",6.29738979832031,83.5486737334867,76.5005989219211,"Sarcoma","3 - 37","5 - 59","Pretreated"
"CTG-1695",22.4344511565161,84.8908081739001,81.7313041281095,"Sarcoma","13 - 33","20 - 52","Pretreated"
"CTG-1702",17.9475609252129,71.8674848242533,71.4271632953178,"Sarcoma","11 - 38","18 - 60","Pretreated"
"CTG-1841",11.9650406168086,78.7493760483267,75.4124403700075,"Sarcoma","10 - 27","16 - 43","Pretreated"
"CTG-1877",25.6393727503041,79.3189351612433,71.5258309315688,"Sarcoma","13 - 502","20 - 796","Not available"
"CTG-1884",3.75865150266238,65.52475209086,55.9427407429551,"Sarcoma","2 - 7","4 - 12","Pretreated"
"CTG-1916",10.2557491001216,72.8395321175966,62.8194530590545,"Sarcoma","8 - 15","12 - 24","Pretreated"
"CTG-1947",11.0446528770541,74.74505053537,70.3287770670912,"Sarcoma","9 - 15","14 - 24","Naive"
"CTG-2003",6.9029080481588,67.5553553492,54.8406073471316,"Sarcoma","5 - 10","8 - 16","Pretreated"
"CTG-2004",9.08737262036095,76.5242048485367,73.74746646453,"Sarcoma","6 - 11","10 - 18","Not available"
"CTG-2021",21.7546193032883,72.4335436128833,68.0095901960914,"Sarcoma","14 - 38","22 - 60","Pretreated"
"CTG-2041",10.8773096516442,69.2215698649566,56.6209410213655,"Sarcoma","9 - 17","14 - 27","Pretreated"
